ID,RIO,COORD- X,COORD- Y,PUNTO,AÑOS,Nivel 10,Nivel 9,Nivel 8,Nivel 7,Nivel 6,Nivel 5,Nivel 4,Nivel 3,Nivel 2,Nivel 1,RIQUEZA ABSOLUTA,DIVERSIDAD SEGÚN SHANNON,CALIDAD DEL AGUA SEGÚN SHANNON,,ÍNDICE BMWP/Col,ÍNDICE BMWP/Col.1,Clasificar
54,RIO HUASAGA,-2.575119785,-77.17003232,P4,09/04/2019,11,3,0,9,0,8,0,0,0,0,31,1.47,Contaminación moderada,,41,Aguas moderadamente contaminadas,3
55,RIO HUASAGA,-2.524143278,-77.18293496,P5,09/04/2019,19,11,0,3,0,0,0,0,0,0,33,1.77,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
56,RIO CHAPIZA,-2.880025048,-77.89806561,P1,09/07/2019,11,5,31,0,0,0,0,0,0,0,47,1.61,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
57,RIO CHAPIZA,-2.806998637,-77.89395636,P2,09/07/2019,20,0,17,1,3,0,0,0,0,0,41,1.8,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
58,RIO CHAPIZA,-2.765864358,-77.89432128,P3,09/07/2019,15,13,0,4,3,2,0,0,0,0,37,1.84,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
59,RIO CHAPIZA,-2.714931297,-77.90954739,P4,09/07/2019,18,11,0,13,0,0,0,0,0,0,42,1.87,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
60,RIO CHAPIZA,-2.693626541,-77.96585626,P5,09/07/2019,12,7,5,4,0,6,1,0,0,0,35,1.81,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
61,RIO HUASAGA,-2.717752305,-77.0210032,P1,01/08/2020,0,0,6,9,7,0,3,4,0,0,29,1.54,Contaminación moderada,,28,Aguas muy contaminadas,4
62,RIO HUASAGA,-2.671703638,-77.08952686,P2,01/08/2020,2,6,9,4,0,3,0,0,0,0,24,1.48,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
63,RIO HUASAGA,-2.63919923,-77.15375553,P3,01/08/2020,14,9,5,5,4,0,0,0,0,0,37,1.75,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
64,RIO HUASAGA,-2.575119785,-77.17003232,P4,01/08/2020,8,9,0,5,3,4,0,0,0,0,29,1.53,Contaminación moderada,,37,Aguas moderadamente contaminadas,3
65,RIO HUASAGA,-2.524143278,-77.18293496,P5,01/08/2020,7,0,9,0,0,11,0,0,0,0,27,1.19,Contaminación moderada,,33,Aguas muy contaminadas,4
66,RIO CHAPIZA,-2.880025048,-77.89806561,P1,01/10/2020,0,15,12,3,0,1,0,0,0,0,31,1.38,Contaminación moderada,,38,Aguas moderadamente contaminadas,3
67,RIO CHAPIZA,-2.806998637,-77.89395636,P2,01/10/2020,15,25,0,3,0,1,0,1,0,0,45,1.65,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
68,RIO CHAPIZA,-2.765864358,-77.89432128,P3,01/10/2020,11,6,8,3,9,0,0,0,0,0,37,1.68,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
69,RIO CHAPIZA,-2.714931297,-77.90954739,P4,01/10/2020,14,3,4,4,5,0,0,0,0,0,30,1.86,Contaminación moderada,,64,Aguas ligeramente contaminadas,2
70,RIO CHAPIZA,-2.693626541,-77.96585626,P5,01/10/2020,9,0,8,6,8,6,0,5,0,0,42,1.77,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
71,RIO HUASAGA,-2.717752305,-77.0210032,P1,05/09/2020,1,6,4,14,6,0,0,0,0,0,31,1.66,Contaminación moderada,,47,Aguas moderadamente contaminadas,3
72,RIO HUASAGA,-2.671703638,-77.08952686,P2,05/09/2020,14,9,8,13,0,5,0,0,0,0,49,1.93,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
73,RIO HUASAGA,-2.63919923,-77.15375553,P3,05/09/2020,12,8,5,11,0,0,0,0,0,0,36,1.72,Contaminación moderada,,51,Aguas moderadamente contaminadas,3
74,RIO HUASAGA,-2.575119785,-77.17003232,P4,05/09/2020,0,8,9,7,0,6,0,2,0,0,32,1.52,Contaminación moderada,,32,Aguas muy contaminadas,4
75,RIO HUASAGA,-2.524143278,-77.18293496,P5,05/09/2020,0,9,8,7,2,5,0,0,0,0,31,1.67,Contaminación moderada,,42,Aguas moderadamente contaminadas,3
