ID,RIO,COORD- X,COORD- Y,PUNTO,FECHA,FECHA,Temperatura,Ph,Oxigeno disuelto,Solidos_Totales,Nitratos,Fosfatos,Turbiedad,DBO5,Coliformes fecales,CALIDAD AGUA NSF,Clasificacion ,Clasificar
79,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2020//11/05,2020//11/05,22.1,6.65,9.5,94.3,4.6,0.45,0.59,15.6,600,52.43,Regular,2
80,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2020//11/05,2020//11/05,22.2,6.86,8.2,96.01,3.5,1.01,0.85,14.2,600,51.65,Regular,2
81,RIO HUASAGA,-2.717752305,-77.0210032,P1,2020//04/09,2020//04/09,19.5,6.6,8.78,92.5,3.6,0.56,1.95,12.9,600,54.63,Regular,2
82,RIO HUASAGA,-2.671703638,-77.08952686,P2,2020//04/09,2020//04/09,19.7,6.3,8.96,98.99,6.1,0.36,1.36,14.2,700,52.11,Regular,2
83,RIO HUASAGA,-2.63919923,-77.15375553,P3,2020//04/09,2020//04/09,20.7,6.4,8.87,81.95,5.6,0.86,1.74,13.5,800,50.73,Regular,2
84,RIO HUASAGA,-2.575119785,-77.17003232,P4,2020//04/09,2020//04/09,20.2,7,6.32,54.1,5.25,0.56,3.25,12.6,600,52.4,Regular,2
85,RIO HUASAGA,-2.524143278,-77.18293496,P5,2020//04/09,2020//04/09,20.9,6.3,7.36,62.5,2.5,0.25,2.45,11.4,600,58.44,Regular,2
86,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2020//07/09,2020//07/09,19.6,6.2,7.54,62.97,6.8,0.19,1.63,11.2,600,55.12,Regular,2
87,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2020//07/09,2020//07/09,19.8,7,7.65,49.8,6.2,0.63,0.95,15.8,700,50.78,Regular,2
88,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2020//07/09,2020//07/09,21.5,6.4,8.63,76.8,2.1,0.96,0.89,14.6,600,51.7,Regular,2
89,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2020//07/09,2020//07/09,20.5,6.4,8.32,84.5,2.5,0.63,1.24,13.7,700,53.88,Regular,2
90,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2020//07/09,2020//07/09,20.3,6.9,7.36,46.02,6.2,0.42,0.79,12.7,600,54.07,Regular,2
91,RIO HUASAGA,-2.717752305,-77.0210032,P1,2021//08/01,2021//08/01,19.5,7.3,9.38,49.6,4.9,0.26,0.76,14.6,2500,53.22,Regular,2
92,RIO HUASAGA,-2.671703638,-77.08952686,P2,2021//08/01,2021//08/01,19.7,7.6,9.56,45.2,3.9,0.87,0.81,15.9,700,52.09,Regular,2
93,RIO HUASAGA,-2.63919923,-77.15375553,P3,2021//08/01,2021//08/01,20.1,7.2,8.97,59.6,3.4,0.56,0.91,14.8,1500,53.08,Regular,2
94,RIO HUASAGA,-2.575119785,-77.17003232,P4,2021//08/01,2021//08/01,20.7,7.5,8.88,52.63,5.8,0.69,0.79,14.4,700,53.13,Regular,2
95,RIO HUASAGA,-2.524143278,-77.18293496,P5,2021//08/01,2021//08/01,21.9,7.2,6.09,68.95,4.9,0.21,2.6,13.2,900,53.96,Regular,2
96,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2021//10/01,2021//10/01,22.3,7.22,7.3,95.23,6.1,0.96,1.05,16.2,600,48.67,Mala,3
97,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2021//10/01,2021//10/01,20.1,7.5,8.45,94.7,6.5,0.67,1.85,15.9,700,51.1,Regular,2
98,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2021//10/01,2021//10/01,20.3,6.84,6.08,164.23,6.8,0.57,1.35,14.7,1500,46.74,Mala,3
99,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2021//10/01,2021//10/01,20.8,6.52,7.2,49.63,4.9,0.23,2.41,12.9,600,56.6,Regular,2
100,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2021//10/01,2021//10/01,21.6,6.74,6.56,100.56,4.8,0.36,3.51,15.2,600,51.59,Regular,2
101,RIO HUASAGA,-2.717752305,-77.0210032,P1,2021//09/05,2021//09/05,19.2,6.7,6.05,124.9,4.7,0.86,2.01,11.6,700,49.34,Mala,3
102,RIO HUASAGA,-2.671703638,-77.08952686,P2,2021//09/05,2021//09/05,19.6,6.4,6.08,57.6,5.8,0.69,3.59,12.4,800,48.15,Mala,3
103,RIO HUASAGA,-2.63919923,-77.15375553,P3,2021//09/05,2021//09/05,20.4,6.62,6.9,73.9,4.6,0.63,2.86,15.8,700,50.4,Regular,2
104,RIO HUASAGA,-2.575119785,-77.17003232,P4,2021//09/05,2021//09/05,20.5,7.1,7.1,86.3,3.5,0.86,1.69,16.1,600,51.7,Regular,2
